field,before_nulls,before_pct,after_nulls,after_pct,delta_pct
marketCap,2158,72.8,2158,72.8,0.0
pe,2320,78.2,2320,78.2,0.0
eps,2156,72.7,2156,72.7,0.0
beta,2285,77.1,2280,76.9,-0.2
avgVolume,2143,72.3,2143,72.3,0.0
dividendYield,2538,85.6,2536,85.5,-0.1
roe,2816,95,2815,94.9,-0.1
revenue,2274,76.7,2269,76.5,-0.2
revenueGrowth,2305,77.7,2301,77.6,-0.1
epsGrowth,2611,88.1,2515,84.8,-3.3
earningsGrowth,2475,83.5,2472,83.4,-0.1
analystRating,2395,80.8,2292,77.3,-3.5
peg,2919,98.4,2902,97.9,-0.5
volume,2749,92.7,2736,92.3,-0.4
price,2749,92.7,2736,92.3,-0.4
sector,0,0,0,0,0.0
industry,2385,80.4,2283,77,-3.4
