field,before_nulls,before_pct,after_nulls,after_pct,delta_pct
marketCap,2158,72.8,1362,45.9,-26.9
pe,2320,78.2,1658,55.9,-22.3
eps,2156,72.7,1355,45.7,-27.0
beta,2280,76.9,1569,52.9,-24.0
avgVolume,2143,72.3,1348,45.5,-26.8
dividendYield,2536,85.5,2136,72,-13.5
roe,2815,94.9,2777,93.7,-1.2
revenue,2269,76.5,1470,49.6,-26.9
revenueGrowth,2301,77.6,1521,51.3,-26.3
epsGrowth,2515,84.8,1903,64.2,-20.6
earningsGrowth,2472,83.4,1895,63.9,-19.5
analystRating,2292,77.3,2020,68.1,-9.2
peg,2902,97.9,2863,96.6,-1.3
volume,2736,92.3,2028,68.4,-23.9
price,2736,92.3,2029,68.4,-23.9
sector,0,0,0,0,0.0
industry,2283,77,1447,48.8,-28.2
