country,all_assets,stocks_only,target_stocks
US,1328012,34803,200000
GLOBAL,178043,149,
IN,66201,2965,800000
unknown,1819,20,
GB,986,546,
EU,847,549,
CA,617,512,
JP,602,369,
HK,529,297,
AU,463,386,
CN,276,248,
TW,257,254,
KR,232,218,
TH,109,107,
ES,102,1,
IL,71,71,
SE,57,56,
SG,54,52,
SA,50,47,
BR,42,31,
NO,37,35,
ID,36,32,
CH,35,32,
DK,34,32,
PL,32,30,
ZA,30,22,
MY,30,27,
NZ,29,26,
RU,24,21,
MX,20,13,
DE,17,1,
AR,11,10,
FR,7,0,
IT,7,1,
QA,6,5,
AE,5,3,
CL,3,2,
TR,3,0,
EG,3,2,
PH,2,0,
BD,1,1,
NL,1,0,
CZ,1,0,
HU,1,0,
PT,1,0,
PE,1,0,
KW,1,1,
BE,1,0,
FI,1,0,
NG,1,0,
CO,1,0,
